gid,tipo_pavim,local,cod_local,area,distance,angle,geometry,x,y
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1580.0,101.36189110573437,POINT Z (687406.9874429578 7190496.592144548 0),687406.9874429578,7190496.592144548
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1600.0,107.29739051926626,POINT Z (687426.3626096307 7190491.740377651 0),687426.3626096307,7190491.740377651
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1620.0,101.84030251946447,POINT Z (687445.4643967893 7190485.817991159 0),687445.4643967893,7190485.817991159
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1640.0,101.84030251946447,POINT Z (687465.0388628233 7190481.7143002 0),687465.0388628233,7190481.7143002
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1660.0,73.37399712650708,POINT Z (687484.7675245858 7190479.617520367 0),687484.7675245858,7190479.617520367
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1680.0,278.0982418047221,POINT Z (687473.2089101038 7190478.214890888 0),687473.2089101038,7190478.214890888
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1700.0,281.8403025194645,POINT Z (687453.6312881509 7190482.30062744 0),687453.6312881509,7190482.30062744
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1720.0,287.2973905192663,POINT Z (687434.3400269916 7190487.493987236 0),687434.3400269916,7190487.493987236
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1740.0,281.36189110573434,POINT Z (687415.1676188281 7190493.1394916205 0),687415.1676188281,7190493.1394916205
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1760.0,275.2981271425621,POINT Z (687395.4699719829 7190496.467667017 0),687395.4699719829,7190496.467667017
8,Via não pavimentada e sem meio fio,Fazenda Canguiri,PFCG,,1780.0,279.1812985276843,POINT Z (687375.5647350663 7190498.387773934 0),687375.5647350663,7190498.387773934
